CIP_CODE|CIP_COURSE|CIP_SHORT|SHORT_COURSE|PERKINS|CIP1999|PERKINS_PROGRAM|PERKINS_SECTION|NON_TRAD|UCAT_APPROVED|CIPTitle_2010
550300|Composition Francaise|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550301|Composition Francaise|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550400|Ecriture Creative en Francaise|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550401|Ecriture Creative en Francaise|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550500|Litterature Canadienne Francaise|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550501|Litterature Canadienne Francaise|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550600|Litterature Francaise(France et la Communaute)|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550601|Litterature Francaise(France et la Communaute)|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550700|Discours et Rhetorique|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550701|Discours et Rhetorique|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550800|Redaction Technique et Commercille en Francais|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
550801|Redaction Technique et Commercille en Francais|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
559900|Langue et Litterature Francaise, Autres|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
559999|Langue et Litterature Francaise, Autres|55|LANGUE ET LITTERATURES FRANCEAISES/LETTRES|NULL|NEW|NULL|NULL|NULL|NULL|NULL
600100|Dental Residency Programs|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512800|NULL|NULL|NULL|NULL|NULL
600101|Dental/Oral Surgery Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512801|NULL|NULL|NULL|NULL|Oral and Maxillofacial Surgery Residency Program.
600102|Dental Public Health Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512802|NULL|NULL|NULL|NULL|Dental Public Health Residency Program.
600103|Endodontics Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512803|NULL|NULL|NULL|NULL|Endodontics Residency Program.
600104|Oral Pathology Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512804|NULL|NULL|NULL|NULL|Oral and Maxillofacial Pathology Residency Program.
600105|Orthodontics Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512805|NULL|NULL|NULL|NULL|Orthodontics Residency Program.
600106|Pedodontics Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512806|NULL|NULL|NULL|NULL|Pediatric Dentistry Residency Program.
600107|Periodontics Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512807|NULL|NULL|NULL|NULL|Periodontology Residency Program.
600108|Prosthodontics Specialty|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512808|NULL|NULL|NULL|NULL|Prosthodontics Residency Program.
600199|Dental Residency Programs, Other|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512899|NULL|NULL|NULL|NULL|Dental Residency Program, Other.
600200|Medical Residency Programs|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512900|NULL|NULL|NULL|NULL|NULL
600201|Aerospace Medicine|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512901|NULL|NULL|NULL|NULL|Aerospace Medicine.
600202|Allergies and Immunology|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512902|NULL|NULL|NULL|NULL|Allergies and Immunology.
600203|Anesthesiology|60|DENTAL, MEDICAL, VETERINARY RESIDENCY PROGRAMS|NULL|512903|NULL|NULL|NULL|NULL|Anesthesiology.
